QueryText,KccAns
GROUNDNUT VERITIES,GROUNDNUT VERITIES -TAG 24 TG 26
ASKED ABOUT SOWING TIME OF GROUND NUT,SOWING TIME OF GROUND NUT-IT GENERALLY CULTIVATED IN THE MONTH OF 15 JUNE TO 15 JULY
TELL ME CONTROL LAT IN GROUNDNUT,SPRAY OF PROFENOFOS 15 ML PER LITER WATER
weed management in groundnut,hand weeding
Farmer wants to know about fungal disease management in groundnut,--                -
Farmer asked query on Disease management in ground nut crop,-RECOMMENDED TO DRENCH COPPER OXYCHLORIDE  BLITOX 3 GRAMS  1 LITRE OF WATER    3
tell me pre control of weed in groundnut,spray of pendim ethalin 3 ltr ha in 600 ltr water
Farmer asked Larvae control information of  Groundnut crop,SC 7-8
about fertilizers dose,1 bag urea and  4 bag ssp
Flower increase in groundnutsoybean,Spray fantak plus  50 ml 100 liter
asking abt the control of yellowishness in gnut,i have suggested to spray 100gm hirakasi  10gm citric acid
TELL ME SEED TREATMENT IN GROUNDNUT,SEED TREATMENT IN GROUNDNUT KARBENDIZAM 2GMKG AND CLOROPYRIPHOS 1 LITER40 KG SEED
tell me nutrient management in groundnut,- 20-25
Asking about white fly management in groundnut,recommended for the spray : dimethoate  2 ml lit of water
masuam ki jankari,mausam saaf rahega barsat ki sambhabna nahi hai
asked for thrips on  groundnut,-  30  15
Asked about Water management in GROUNDNUT,Suggested to go for furrow irrigation
Asked about Pest management in  ground nut,Spray Dimethoate 30 EC  17 mllit water
Plant protection in Groundnut crop,Kisan bhai aap  Hexaconazole 5 EC 2 mlChlorpyriphos 20 EC2 mlliter pani ke sath spre kare
fertilizer dose for groundnut,50 kilo DAP  50 kilo gypsum  acre
Asked about White grub management for Groundnut Metarhizium anisopliae can be spray,:       :  5
Weather information is asking,28 july se 2 agust tak halki barish ki sambhavana hai
groundnut top dressing fertilizer management,Recommended for apply zypsum 150kg  borax 10 kg ac
Asking about leaf hopper and leaf blight  management in groundnut,:            :  2    2
weather cond,OvercastPrecip chance: 6Humidity: 79
Seed rate of Groundnut,Seed rate of Groundnut: 50kg kernels or 70kg pods per acre
asking about seed treatment for groundnut,recommended for Treat the seeds with Carbendazim at 2 gkg of seed
TELL ME JHULSA IN CHIKU AND LEMAN,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER
How to control fungus attack in Groundnut,Mancozeb  Carbandijam-  45g15litter water solution ka spray
attack of sucking pest on groundnut,sucking pest on groundnut -Confidor 15ml 15 Lit of Water
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT  CROP,50    15
Farmer asked query on Weather,27      15       9
late tikka leaf spot in ground nut,RECOMMENDED TO SPRAY HEXACONAZOLECONTAF ANVIL  400 ML PER ACRE
TELL ME CONTROL OF WHITE GRUB IN PEANUT,SPRAY OF FIPRONIL 5  SC 2 LITER PER HA
Farmer asked miteredmiteant control information of groundnut,EC
caterpillar maangement,proclaim 10gm
TELL ME SEED RATE OF GROUNDNUT,SEED RATE OF GROUNDNUT  80-100 KGHA
pest infestation in groundnut,RECOMMENDED TO SPRAY SPINOSADTRACER SPINTER  CHARGE   75 ML  PER ACRE
Control of upper leaf yellowing in ground nut,SPRAY AZOXYSTROBIN 23 SC  1 ML  LIT OF WATERSpray Sagarika sea weed extract   2-3 mll of water
ASKED ABOUT TO NUTRIENT MANAGEMENT IN GROUDNUT CROP,5    10
weed management in groudnut,You can weeding by labour
information about termite control in groundnut crop,Carbofuran 3G 8  10
Ask about Use fertilizer information of Groundnut crop,-
asking about application dose of TNAU GROUNDNUT RICH,recommended for application dose of TNAU GROUNDNUT RICH is 2 kg  acre
SEED TREATMENT OF GROUNDNUT,SEED TREATMENT OF GROUNDNUT -CARBENDAZIM 2 GRAM PER KG SEED  CLOROPYRIPOS 4 ML PER KG SEED  RHIZOBIUM CULTURE 600   GRAM PER HACTRE
Farmer  wants  to know information about seed rate of ground nut,seed rate 100 kg of pungent species of peanut And 80 kg of proliferation and semi-spreading species Seed per hectare use has been found to be excellent
attack of sucking pest  leaf eating cater pillar on groundnut,spray tryzophos 30 ml  15lit of water
FERTILIZER MANAGEMENT IN GROUNDNUT,-- UREA 15KGS POTASH15KGS PER ACRE
Farmer asked about fertilizers management at 3o days age,--suggest him to apply 15 kgs urea and 200kgs zypsum
ask about larval problem in Groundnut,EC 0                 40
GROUNDNUT LEAF EATING CATTERPILLAR,SPRAY QUNOLFOS 2MLLT OF WATER
Farmer asked fungus in root control information of  groundnut,EC        -
TELL ME DISEASE CONTROL IN  GROUNDNUT CROP,2       500
fertilizer,10 kg Gypsum
vareties of groundnut,graundnut- phule pragati co-1
Asking about Rot Pre control in Groundnut,:    :     1  20
Farmer asked larvae problem in groundnut crop,40         ppm
asked about the micronutrient,BORAX  OCTABORET -           -
groundnut fertilizers dose,groundnut fertilizers dose--dap75kgmicromix5kg par acar
Asked about cater pillar management in groundnut,:      :   2   1
Termite control of groundnut crops,Use Chloropyriphus 20 EC  15 liters per acre with irrigation water
Can I spray Lambda Cyhalothrin 5 EC and Thiamethoxam 25 WG together,Cyhalothrin 5 EC  Thiamethoxam 25 WG
Asking about Tobacco caterpillar in groundnut,:        :    25 WG - 4    10
STEM ROT IN GROUNDNUT,RECOMMENDED TO DRENCH SAAF 2GM  PLANTOMYCINE 1GM  1 LITER OF WATER
GROUND NUT HELICOVERPA,RECOMMENDED TO SPRAY CHLORANTRINIPROLU  CORAZEN 40-60 MLACRE
FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN GROUNDNUT,RECOMMENDED TO UREA - 30 KG AND GYPSUM- 65 KG PER ACRE
Asking about Caterpillar management in Groundnut,:     :   1    1
GROUND NUT VARITIES,K-4K-5K-6ABHAYA
BIHAR HAIRY CATERPILLAR MANAGEMENT,DUSTING OF MALATHION 4KG ACRE
Farmer wants to know information about Weed Management Narrow  Broader leaf on Groundnut crop,-                            -
weed management in ground nut,no weedicide is recommended after 20 days of sowing of ground nut
ROOT ROT MANAGEMENT IN GNUT CROP,RECOMMENDED TO DRENCH COPPER OXY CHLORIDE  3 GRAMS  1 LITRE OF WATER    3
ASKED ABOUT BLIGHT ON GROUNDNUT,Spray Antracol  25 gm15 Liter of WaterPropineb-Bayer
