QueryText,KccAns
how to control flower drop in bottelgourd,spray planofix4mlpump
how to control fruit borer in brinjal,should be spray profenophos 35mlpump
how to control of yellow moisac in moong,should be spray metasystox 35mlpump
how to control white fly in brinjal,should be spray metasystox 35mlpump
how to control termite in wheat,use chlorpyrephos1lithactwith the help of irrigation
how to control chilli thrips,sprey cypermethrin15 mlpump
how to increase milk in buffalo,use gylox 20 gm twice a day
how to control sucking pest in bottle gourd,shhould be spray metasystox 35mlpump
how to control becterial blight in tomato,should be spray mancozeb 35mlpump
what are control of cow pea mosaic ,spray trizophose  30 ml pump
how to control yellow moisac in moong,should be spray metasystox 35mlpump
how to control white fly in brinjal,should be spray metasystox 35mlpump
how to control shoot and fruit borer in brinjal,should be spray cyper methrin 30-35mlpump
how to contro yellow moisac in moong,should be spray metasystox 35mlpump
how to control powdery mildew in bottle gourd,should be spray wetable sulfar 16mlpump
how to control weed in field,should be spray glyphoset 15litreha
what are control of cauliflower yellow leaf ,spray trizophose  40 ml pump
how to control powdery mildew in bottle gourd,should be spray  wetable sulphar 16mlpump
how to control sucking pest in moong,should be spray metasystox 35mlpump
how to copntrol caterpillar in aonla,applied endosulfan drop by injection in plant
how to controlsucking pest in moong,should be spray metasystox 35mlpump
how to contol of altenariya leasf spot in cotton,should be appply spray mancozeb 35mlpump
how to control stem borer in paddy,should be spray chloropyriphos 15kgha with irrigation water
how to control yellow stem borer in paddy,applied dust chloropyriphos 15kgha wuith irrigation water
how to control aphids in groundnut,should be spray metasystox 35mlpump
how to control flower drop in papaya,should be spray planofix 3-5mlpump
how to control diesase in buffalo,contect at nearest animal jospital
how to control leaf curl in tomato,should be spray imidacloprid 35mlpump
whast is the ontrol of the tobbacco catter pillar in the soybean ,apply the trizophos  250 ml per acre 
What is the control of fruit dropping in mango,Apply to you spray of planofix 5 mlpump
how to control yellowvein mosaic of bhindi,sprey metasistox15mlpump
how to control sucking pest in moong,should be spray metasystox 35mlpump
how to control of shoot borer in maize,spray dltamethrin 35mlpump
how to control termite in wheat field,use chlorpyrephos1lithactwhit the help of irrigation water
flowr inducer  sptay in soyabean ,spray vipul   15 ml pump
how to control of  green gram   mosaic ,spray   imidacloprid  5 ml pump
how to control flower drop in bottle gourd,should be spray planofix 7mlpump
how to control yellow moisac in moong,spraying for dimethod 750-1000mlha
how to control pumkin beetle in cucumber,should be spray profenophos 35mlpump
how to control thrips in chilli,should be spray dimethod 35mlpump
what are control of cotton white fly ,spray imidacloprid  5 ml pump
how to control white fly in brinjal,should be spray metasystox 35mlpump
how to control fruit borer in bitter gourd,should be spray profenophos 35mlpump
how to control leaf curl in tomato,should be spray metasystox 35mlpoump
how to control sucking pest in cowpea,should be spray dimethod 35mlpump
how to control fruit borer in bitter gourd,should be spray profenophos 35mlpump
variety of onion,pusa rednasik red
how to control aphidjassid and thrips in cotton,apply to you spray of immidachloroprid 15 mlpump of crop for control its
what are varieties of maize,sown on varieties ganga-5 deccan-101naveen and jyoti etc
how to control hopper in mango,should be spray dimethod 35mlpump
how to control aphids in coriander,should be spray metasystox 35mlpump
what are control of cotton aphids ,spray imiacloprid  5 ml pump
How to increase milk production of cow,you can give gylox powder 100 gram in a day for increase milk production of cow
how to control fruit drop in jackfruit,apply to you spray of planofix 5 mlpump for control its
what are control  of sorghum stem borer ,spray trizophose  40 ml pump
chilli  flower dropping  control  ,spray planofix  15 ml pump
CONTROL CHILLI LEAF CURLING ,SPRAY ACETAMIPRID  5 ML PUMP
how to brackout wheat stra in field,you drive to herro i field
What is the control of yellow mosaic in bhindi,Apply to you spray monocrotophos 30 mlpump
how to control of fruit borer in brinjal,spay for profenophos 35mlpump
potato  seed sowing ,sow in oct- nov 
how to control becterial blight in tomato,should be spray metasystox 35mlpump
how to control flower drop in brinjal,sprey planofix4mlpump
how to control sucking pest in urd,should be spray deltamethrin 25mlpump
